V0001,V1057,V1857
1,CT,11
2,CT,7
3,CT,11
4,CT,8
5,CT,6
6,CT,10
7,CT,7
8,NY,7
9,CT,2
10,CT,6
11,CT,4
12,CT,3
13,CT,9
14,CT,2
15,CT,2
16,CT,8
18,CT,9
19,CT,9
20,CT,7
21,CT,11
22,CT,0
23,CT,9
24,CT,10
25,RI,12
26,CT,11
27,CT,7
28,CT,9
29,CT,2
30,CT,0
32,CT,4
34,CT,7
35,CT,10
37,CT,10
38,CT,6
40,CT,11
41,CT,8
42,CT,9
43,CT,3
44,CT,5
45,CT,12
47,CT,3
49,CT,4
50,CT,6
52,CT,6
53,CT,12
54,CT,1
57,CT,8
59,CT,5
61,CT,9
63,CT,5
64,CT,7
66,CT,7
67,CT,9
68,CT,3
69,CT,2
70,CT,5
71,CT,5
72,CT,9
73,CT,5
74,CT,6
76,CT,7
77,CT,6
78,CT,2
79,CT,2
82,CT,11
83,CT,7
86,CT,6
87,CT,7
90,CT,11
93,CT,3
95,CT,3
96,CT,7
98,CT,6
100,CT,7
102,CT,10
103,CT,6
105,CT,5
107,CT,9
108,CT,3
109,CT,1
111,CT,6
112,CT,0
113,CT,3
114,CT,6
115,CT,8
116,CT,2
117,CT,5
120,CT,0
121,AZ,9
122,CT,7
123,CT,6
124,CT,2
125,CT,7
127,CT,12
128,CT,0
129,CT,7
130,CT,12
133,CT,3
134,CT,7
137,CT,2
138,CT,6
139,CT,3
140,CT,4
141,CT,1
143,CT,8
144,CT,2
146,CT,6
147,CT,7
148,CT,0
150,CT,7
152,CT,9
153,CT,3
154,CT,6
155,CT,3
156,CT,10
158,CT,9
159,MD,10
160,CT,1
161,CT,2
162,CT,2
164,CT,3
169,CT,5
170,CT,10
171,CT,3
172,CT,3
173,CT,5
175,CT,9
176,CT,9
177,CT,3
178,FL,10
179,CT,4
180,CT,11
181,CT,10
182,CT,5
185,CT,9
186,CT,1
188,CT,4
189,CT,3
190,CT,8
192,CT,3
193,CT,3
195,CT,5
196,CT,9
197,CT,2
199,CT,0
200,CT,9
203,CT,4
204,CT,1
205,CT,2
206,CT,2
207,ME,5
208,CT,12
209,CT,9
210,CT,4
214,CT,5
215,CT,10
218,MA,8
220,MA,9
222,RI,3
224,MA,6
225,MA,2
226,MA,2
227,MA,4
229,MA,5
230,MA,4
231,MA,8
233,MA,6
234,MA,2
235,MA,2
238,MA,3
239,MA,2
240,MA,3
241,MA,4
242,MA,0
243,IA,2
244,MA,10
246,MA,1
247,MA,11
248,MA,6
249,MA,3
251,MA,3
252,MA,5
254,MA,11
255,MA,4
256,MA,11
257,MA,3
258,MA,4
259,MA,0
260,MA,3
261,MA,10
262,MA,6
263,MA,3
264,MA,3
265,MA,12
266,MA,10
267,MA,2
268,MA,1
269,MA,8
270,MA,3
271,MA,5
272,MA,1
273,MA,7
274,MA,9
276,MA,10
277,FL,11
278,MA,6
279,MA,9
281,MA,3
282,MA,5
283,MA,2
284,MA,6
285,MA,4
288,MA,4
289,MA,2
291,MA,2
292,MA,3
293,MA,4
294,MA,8
295,MA,12
296,MA,9
297,MA,9
298,MA,5
299,MA,2
300,MA,5
301,MA,7
302,MA,2
303,MA,12
304,MA,1
305,MA,1
306,MA,10
308,MA,3
309,MA,2
311,MA,2
312,MA,5
313,MA,7
315,MA,1
316,MA,7
317,NY,9
319,MA,11
320,MA,7
322,MA,11
323,RI,6
324,MA,8
325,MA,6
326,MA,8
327,MA,2
328,MA,8
330,MA,4
331,MA,5
332,MA,10
333,MA,3
335,MA,3
336,MA,7
337,MA,9
338,MA,3
339,MA,8
340,MA,2
341,MA,3
342,MA,1
343,MA,9
344,MA,7
345,MA,7
347,MA,12
348,PA,5
349,MA,11
350,MA,10
351,MA,7
352,MA,2
353,MA,8
354,VA,6
355,MA,11
356,MA,11
357,MA,11
358,MA,5
359,MA,10
360,MA,8
361,MA,8
362,MA,6
363,MA,6
364,NJ,7
365,MA,1
366,MA,12
367,CA,10
368,MA,7
369,MA,0
371,MA,12
373,NH,5
374,CT,9
375,NH,12
376,NH,7
377,NH,6
378,NH,5
379,NH,10
380,NY,12
381,NH,5
382,NH,5
383,NY,12
384,NH,12
385,NH,12
386,NH,12
387,NH,8
388,NH,7
389,NY,4
391,ME,12
392,NH,11
393,CT,2
394,NC,3
395,VT,8
396,NH,7
397,NH,2
398,NH,8
400,NH,12
401,NY,12
402,NH,9
403,NH,3
404,NH,8
405,NH,0
406,NH,2
407,MA,6
408,NH,5
409,NH,7
410,NH,3
413,NY,12
414,MA,10
415,MA,12
416,NH,10
417,NH,5
418,NH,10
420,NY,2
423,NY,12
424,NY,3
425,NY,8
427,NY,6
428,NY,10
429,NY,12
430,NY,6
431,NY,3
433,NY,5
436,NY,12
437,NY,11
441,NY,12
442,CA,1
443,NY,4
445,NY,12
447,NY,12
448,CT,12
449,NY,2
451,NY,7
452,NY,10
453,NY,12
454,NY,12
455,NY,7
458,NY,11
459,NY,12
460,NY,1
461,NY,12
463,NJ,10
467,NY,2
468,NY,4
469,NY,3
472,NY,9
473,NY,2
474,NY,4
475,NY,3
476,NY,8
477,NY,10
478,NY,9
479,NY,4
480,NY,10
482,NY,5
485,NY,8
488,NY,3
490,NY,4
491,NY,3
492,NY,0
493,NY,11
495,NY,5
496,NY,2
497,NJ,7
498,OH,6
499,NY,8
500,NY,5
501,NY,7
504,NY,7
505,NY,6
506,NY,6
508,NY,2
509,NY,12
510,NY,7
512,NY,3
515,NY,2
516,NY,7
517,NY,4
518,NY,8
519,NY,5
520,NY,5
521,NY,2
522,NY,4
524,NY,4
525,CT,4
526,CT,10
527,NY,11
528,NY,8
530,NY,5
531,NY,5
532,NY,7
533,NY,12
534,NY,9
537,NY,2
538,NY,8
539,TN,4
540,NY,5
541,NY,3
542,NY,8
543,NY,5
545,NY,11
546,NY,5
548,NY,7
549,NY,7
550,NY,5
552,NY,5
553,NY,2
554,NY,7
555,NY,2
557,NY,6
559,NY,5
560,NY,6
562,NY,2
563,NY,3
565,NY,3
566,NY,9
567,NY,6
568,NY,6
570,NJ,11
571,NY,8
572,NY,3
573,NY,3
574,NY,3
575,NY,5
576,NY,3
577,NY,5
578,NY,3
580,NY,2
581,NY,2
582,NY,8
583,NY,3
584,NY,7
585,NY,4
586,NY,6
587,NY,3
588,NY,1
589,NY,6
590,NY,7
591,NY,6
592,NY,11
593,NY,2
594,NY,6
595,NY,7
596,NY,3
597,NY,10
598,NY,8
599,NY,7
600,NY,5
601,NY,5
603,NY,9
