ID,age,gender,race/ethnicity,year,city,state,Region,armed,%white,%black,%hispanic,personalmedianincome,HouseholdMedianIncome,countymedianincome,householdincome/countyincome,povertyrate,unemploymentrate,BAorhighereducation
1,33,Male,Hispanic/Latino,2015,Anchorage,AK,South,Knife,50.4,11.7,10.2,32902,51445,77454,0.664200687,18.4,0.096503497,0.355088496
2,33,Male,Native American,2015,Anchorage,AK,South,Knife,25.5,11.1,13.6,20075,41268,77454,0.532806569,20.2,0.129310345,0.076845638
3,16,Male,Black,2015,Millbrook,AL,South,No,60.5,30.5,5.6,28375,51367,54766,0.937935946,14.1,0.097686375,0.168509509
4,36,Male,Black,2015,Huntsville,AL,South,Knife,89.9,4.3,1.4,34698,57935,58434,0.991460451,8.9,0.063658099,0.422256775
5,77,Male,Black,2015,Birmingham,AL,South,No,22.2,77.8,1.5,13968,23977,45429,0.527790618,37.5,0.145048815,0.088550247
6,46,Male,White,2015,Dadeville,AL,South,Firearm,66.2,30.9,0.1,18363,36694,39130,0.937745975,20.1,0.078163166,0.15942482
7,54,Male,White,2015,Bay Minette,AL,South,Firearm,82.8,15,0.4,23683,48173,50221,0.959220247,8.3,0.073079325,0.251100352
8,39,Male,White,2015,Moulton,AL,South,Other,86.3,2.1,0,19149,38078,38551,0.987730539,17,0.168279344,0.068518038
9,38,Male,Black,2015,Birmingham,AL,South,Firearm,44.4,22.4,28.9,21908,35780,45429,0.787602633,23.2,0.052918942,0.405676127
10,53,Male,White,2015,Hoover,AL,South,No,84.7,1.4,7.7,42312,81996,45429,1.804926369,3,0.035916061,0.627631579
11,36,Male,Black,2015,Strong,AR,West,Firearm,53.7,44.4,1.8,17853,32614,37435,0.871216776,15.6,0.055732484,0.100468284
12,31,Male,White,2015,Jonesboro,AR,West,No,67.2,21.7,10,22080,43259,41393,1.045080086,18.2,0.092469018,0.213943194
13,71,Male,-1,2015,England,AR,South,Firearm,67.9,29.8,1.3,18750,31458,52582,0.598265566,32.9,0.137774413,0.132464712
14,35,Male,White,2015,Cabot,AR,South,Knife,79.9,4.4,10.4,22158,47051,52582,0.894811913,22.6,0.07388664,0.207895842
15,29,Male,White,2015,Phoenix,AZ,West,No,7,7.7,79,15523,20833,53596,0.388704381,58,0.073651452,0.102955195
16,51,Male,Hispanic/Latino,2015,Bisbee,AZ,West,Knife,46,0.9,51.3,20428,36442,45755,0.796459403,25.8,0.103244838,0.211139241
17,29,Male,White,2015,Morenci,AZ,West,Firearm,41,1.7,53.4,37579,60670,47992,1.264169028,10.9,0.107042254,0.146116241
18,56,Male,White,2015,Marana,AZ,West,Knife,69.3,2.8,17.8,38593,69616,45841,1.518640518,3,0.079104478,0.423807081
19,37,Male,Hispanic/Latino,2015,San Manuel,AZ,West,No,49.2,0.1,49.8,22833,40984,50027,0.819237612,15.7,0.188067445,0.16084788
20,42,Male,Black,2015,Scottsdale,AZ,West,Knife,86.8,0.3,10.5,36099,52038,53596,0.970930666,10,0.024411135,0.505309505
21,19,Male,-1,2015,Cottonwood,AZ,West,No,65,0.9,30.3,16415,36818,42987,0.856491497,21.7,0.216194332,0.139520776
22,21,Male,White,2015,Cottonwood,AZ,West,Firearm,65,0.9,30.3,16415,36818,42987,0.856491497,21.7,0.216194332,0.139520776
23,40,Male,White,2015,Eagar,AZ,West,Firearm,68.6,0,23.6,20644,47821,31476,1.519284534,16.3,0.059301769,0.097701149
24,43,Male,White,2015,Phoenix,AZ,West,Firearm,20.6,5.9,71.2,19343,27066,53596,0.505000373,39.9,0.12,0.13821938
25,28,Female,-1,2015,Tuscon ,AZ,West,Firearm,87.4,0,10.4,20860,37292,42987,0.867518087,20.9,0.151329243,0.080025472
26,28,Male,Hispanic/Latino,2015,Phoenix,AZ,West,Other,30.6,11.5,44.4,23243,35524,53596,0.662810658,39.7,0.149219467,0.244320298
27,32,Male,White,2015,Maricopa,AZ,West,Firearm,59.2,1.4,24.3,45333,83438,50027,1.667859356,7.1,0.067204301,0.427527406
28,63,Male,White,2015,Glendale,AZ,West,Firearm,63.1,9.4,18.8,30661,55133,53596,1.028677513,13,0.05121876,0.245041426
29,33,Male,Hispanic/Latino,2015,Mesa,AZ,West,Knife,52.8,1.8,41.3,22995,52661,53596,0.982554668,13.4,0.118041583,0.198295641
30,24,Male,Native American,2015,Lukachukai,AZ,West,Firearm,4.3,0.3,2.7,13130,24637,31476,0.782723345,48.9,0.262736536,0.102930128
31,49,Female,White,2015,Peoria ,AZ,West,Non-lethal firearm,38.6,9.1,52.8,23974,34219,53596,0.638461826,17.6,0.104332953,0.100755668
32,51,Male,White,2015,Phoenix,AZ,West,No,75.3,3.5,14.3,23250,55233,53596,1.030543324,13,0.107897153,0.190435887
33,22,Male,Hispanic/Latino,2015,Chandler,AZ,West,No,60.2,4,30.3,32211,53346,53596,0.995335473,8.5,0.069218871,0.269216758
34,25,Male,White,2015,Tempe,AZ,West,Firearm,71.7,2.3,9.8,25839,44097,53596,0.822766624,20.5,0.059773829,0.518049398
35,26,Male,Native American,2015,Phoenix,AZ,West,No,16.3,12,55.4,16012,17699,53596,0.330229868,57.1,0.206933333,0.035050676
36,31,Male,White,2015,Kingman,AZ,West,Firearm,80.9,0.2,11.9,21374,42484,39200,1.08377551,16.2,0.149595213,0.141590679
37,28,Male,Hispanic/Latino,2015,Phoenix,AZ,West,Firearm,30.6,11.5,44.4,23243,35524,53596,0.662810658,39.7,0.149219467,0.244320298
38,35,Male,White,2015,Kearny,AZ,West,No,54.5,0,42.3,24352,49097,50027,0.981410039,19.5,0.078651685,0.080141129
39,37,Female,White,2015,La Paz County,AZ,West,No,45.5,3.1,40.8,15686,27552,45841,0.601034009,31.2,0.138238573,0.39089969
40,25,Male,Hispanic/Latino,2015,South Gate,CA,West,Firearm,1.2,0.6,98.8,17194,48295,55909,0.863814413,11.7,0.124827269,0.050132928
41,22,Male,Hispanic/Latino,2015,Bakersfield,CA,West,Firearm,50.8,0.3,44.2,25949,58068,48552,1.195996045,17.2,0.131461131,0.20380117
42,35,Male,Hispanic/Latino,2015,Wilmington,CA,West,Non-lethal firearm,8.6,0.2,84.1,25043,66543,55909,1.190201935,12.2,0.094346979,0.090437601
43,76,Male,White,2015,Hanford,CA,West,Knife,51.4,0.9,44.9,26916,56065,48133,1.164793385,9.2,0.041085271,0.100328947
44,40,Male,White,2015,Rancho Santa Margarita,CA,West,No,67.3,0.6,12.9,51186,117413,75422,1.556747368,4.4,0.057580779,0.527176781
45,24,Female,White,2015,San Francisco,CA,West,Firearm,44.8,6.9,16.5,41676,61904,75604,0.818792656,11.6,0.040850588,0.552548489
46,57,Male,Black,2015,San Francisco,CA,West,No,31.3,7.5,15.2,37455,111903,88202,1.268712728,6.4,0.063268366,0.40952621
47,21,Male,Hispanic/Latino,2015,San Francisco,CA,West,Vehicle,28.3,5.1,58.1,27384,60479,75604,0.799944447,12.7,0.115890508,0.349884906
48,36,Male,White,2015,Fontana,CA,West,Firearm,17.8,4.4,76.4,18376,39153,54090,0.72384914,24.4,0.262976968,0.071504237
49,26,Male,White,2015,Sylmar,CA,West,Firearm,7.7,6,77.9,22441,52344,55909,0.936235669,17.4,0.098980204,0.179372197
50,21,Male,Hispanic/Latino,2015,Corning,CA,West,Knife,56.6,1.2,35.9,19599,46320,41924,1.104856407,24.1,0.17323741,0.117980072
51,32,Male,Hispanic/Latino,2015,Los Angeles,CA,West,Firearm,4.3,3.4,89.6,15373,27585,55909,0.493391046,37.4,0.123766135,0.100675676
52,39,Male,Hispanic/Latino,2015,Santa Ana,CA,West,Knife,4.2,0.2,93.9,19978,47233,75422,0.626249635,20.6,0.123624444,0.06139805
53,29,Male,Black,2015,Los Angeles,CA,West,Firearm,70.7,4.5,15.5,42931,60714,55909,1.085943229,13.2,0.12679524,0.662311147
54,23,Male,-1,2015,South Gate,CA,West,Firearm,2,1.1,96.6,18047,43750,55909,0.782521598,16.3,0.125765426,0.015885947
55,26,Male,Black,2015,Los Angeles,CA,West,Firearm,1.9,47.3,45.9,17893,38690,55909,0.692017385,23.6,0.214183381,0.198357549
56,28,Male,Asian/Pacific Islander,2015,Stockton,CA,West,Knife,12.2,18.9,48.3,11805,15212,53380,0.284975646,50.7,0.348008386,0.061581248
57,35,Male,White,2015,Marysville,CA,West,Firearm,40.7,1.4,35.8,14746,28837,44902,0.642220836,32.2,0.214501511,0.106990014
58,43,Male,Black,2015,Los Angeles,CA,West,Vehicle,18,54.9,23,8206,10290,55909,0.18404908,79.2,0.439590444,0.060441941
59,33,Male,Hispanic/Latino,2015,Wasco,CA,West,Firearm,5.7,6.1,88.5,12741,23692,48552,0.487971659,50.6,0.151145038,0.026600166
60,64,Male,White,2015,Los Angeles,CA,West,Firearm,22.5,1.8,64.6,21130,55458,55909,0.99193332,7.3,0.068592058,0.285611251
61,45,Male,White,2015,Garden Grove,CA,West,Firearm,9.5,0,33.9,19598,56818,75422,0.753334571,24.3,0.11815301,0.165626027
62,34,Male,White,2015,San Diego,CA,West,Vehicle,47.3,6.7,29,26928,66542,62962,1.056859693,10.8,0.056382146,0.385287202
63,24,Male,Black,2015,Santa Clara,CA,West,Other,23.6,3,49.1,26846,62664,91702,0.683343875,9.1,0.107110979,0.348542762
64,29,Male,Black,2015,Antioch,CA,West,Firearm,37.5,5,54.3,22193,45512,78756,0.577886129,20.7,0.175749894,0.048747913
65,37,Male,Hispanic/Latino,2015,Ontario,CA,West,Firearm,15.6,5.8,66,24026,61989,54090,1.146034387,7.6,0.160571809,0.163655685
66,29,Male,Hispanic/Latino,2015,Hemet,CA,West,Firearm,48.3,8.1,38.4,17632,32708,56529,0.578605671,32,0.216848674,0.08590604
67,52,Male,Hispanic/Latino,2015,Pomona,CA,West,Knife,12.6,3.5,77,22177,46944,54090,0.867886855,23.2,0.135651629,0.084254483
68,27,Male,Hispanic/Latino,2015,Santa Ana,CA,West,No,0.5,0.2,96.3,16620,41611,75422,0.55170905,25.7,0.065989848,0.030701754
69,20,Male,-1,2015,Long Beach,CA,West,Firearm,46.4,6.1,24.4,31776,65912,55909,1.178915738,11.3,0.086558761,0.442805539
70,42,Male,White,2015,Apple Valley,CA,West,Firearm,70.2,1.3,23.3,23716,49844,54090,0.921501202,23.6,0.086389961,0.141213064
71,42,Male,White,2015,San Diego,CA,West,Firearm,56.7,9.1,24,23467,31495,62962,0.500222356,23,0.090163934,0.362808843
72,56,Male,White,2015,Encinitas,CA,West,No,80.6,0.6,10.5,40529,96094,62962,1.526222166,7.5,0.057553957,0.540820096
73,19,Male,Hispanic/Latino,2015,Long Beach,CA,West,No,4,9.5,68.2,17223,30398,55909,0.543704949,42,0.171334432,0.039807524
74,41,Male,Hispanic/Latino,2015,Napa,CA,West,Firearm,73.8,2.5,17.7,41719,90271,70443,1.281475803,8.6,0.066012002,0.482361963
75,29,Male,Black,2015,Modesto,CA,West,Knife,72.5,1.2,19.3,28397,53097,49297,1.077083798,11.6,0.092623405,0.276122083
76,47,Male,White,2015,Bakersfield,CA,West,Firearm,28.7,17.7,48.7,12297,18942,48552,0.390138408,46.2,0.132231405,0.066834805
